city;temp;date;pressure;weather
Kazan’;17.85;2024-05-24T12:04:59;1030hPa;broken clouds
Zelenodolsk;17.31;2024-05-24T12:09:00;1030hPa;overcast clouds
Moscow;20.12;2024-05-24T12:07:00;1033hPa;few clouds
Kursk;19.55;2024-05-24T12:09:04;1029hPa;clear sky
Smolenskaya Oblast’;19.91;2024-05-24T12:08:45;1031hPa;few clouds
Samara Oblast;14.57;2024-05-24T12:05:36;1031hPa;few clouds
Novosibirsk;9.61;2024-05-24T12:08:23;1016hPa;overcast clouds
Kazan’;17.85;2024-05-24T12:10:47;1030hPa;broken clouds
Zelenodolsk;17.31;2024-05-24T12:14:47;1030hPa;overcast clouds
Moscow;20.12;2024-05-24T12:06:54;1033hPa;few clouds
Kursk;19.55;2024-05-24T12:11:58;1029hPa;clear sky
Kazan’;17.85;2024-05-24T12:10:47;1030hPa;broken clouds
Zelenodolsk;17.31;2024-05-24T12:14:47;1030hPa;overcast clouds
Moscow;20.12;2024-05-24T12:06:54;1033hPa;few clouds
Kursk;19.55;2024-05-24T12:11:58;1029hPa;clear sky
Smolenskaya Oblast’;19.91;2024-05-24T12:14:50;1031hPa;few clouds
Samara Oblast;14.57;2024-05-24T12:11:20;1031hPa;few clouds
Novosibirsk;9.61;2024-05-24T12:13:23;1016hPa;overcast clouds
